id,title                                 ,thumbnail_url                                   ,video_url                                  ,publication_date
89,珍しい名字からは日本語の○○が分かる【うんちくエウレーカクイズ2】#87,https://i.ytimg.com/vi/e4fDwDNc11Q/sddefault.jpg,https://www.youtube.com/watch?v=e4fDwDNc11Q,2022-01-04
90,大嘘つきに使える悪口「神聖ローマ帝国じゃん」【インテリ悪口パビリオン】#88,https://i.ytimg.com/vi/wlQrQVzdoVA/sddefault.jpg,https://www.youtube.com/watch?v=wlQrQVzdoVA,2022-01-07
91,【再UP高画質版】た【た1】#89,https://i.ytimg.com/vi/iXlykljJ3kY/sddefault.jpg,https://www.youtube.com/watch?v=iXlykljJ3kY,2022-01-14
92,「た」には6種類あるし、○○も□□も表せる【た2】#90,https://i.ytimg.com/vi/P4FvgzaY2MA/sddefault.jpg,https://www.youtube.com/watch?v=P4FvgzaY2MA,2022-01-14
93,反省しているのは現在なのになぜ「た」を使うの？【た3】#91,https://i.ytimg.com/vi/I0iFsy-QShY/sddefault.jpg,https://www.youtube.com/watch?v=I0iFsy-QShY,2022-01-18
94,「た」のルーツは室町時代【た4】#92,https://i.ytimg.com/vi/RVw1F-ttOfI/sddefault.jpg,https://www.youtube.com/watch?v=RVw1F-ttOfI,2022-01-21
95,なぜ『11人いる！』は「11人いた！」ではダメなのか？【た5】#93,https://i.ytimg.com/vi/fPY_7jbiTx8/sddefault.jpg,https://www.youtube.com/watch?v=fPY_7jbiTx8,2022-01-25
96,「た」を巡る物語、最終話。【た6】#94,https://i.ytimg.com/vi/drXeWP6Smlc/sddefault.jpg,https://www.youtube.com/watch?v=drXeWP6Smlc,2022-01-28
97,疲れ「た」ので、何度も同じ話をする人々【雑談回】#95,https://i.ytimg.com/vi/TLFxYRB0uBI/sddefault.jpg,https://www.youtube.com/watch?v=TLFxYRB0uBI,2022-02-01
98,四字熟語バトルをしたり、リスナー名を○○に決めたり【おたより雑談回】#96,https://i.ytimg.com/vi/DOPj0ObyX-Y/sddefault.jpg,https://www.youtube.com/watch?v=DOPj0ObyX-Y,2022-02-04
99,ヤノマミ族は「〇〇学者」を悪口にしている【うんちくエウレーカクイズ3】#97,https://i.ytimg.com/vi/FSmLfHsVjSo/sddefault.jpg,https://www.youtube.com/watch?v=FSmLfHsVjSo,2022-02-08
100,奄美大島の方言「はげ」の意味とは？【ベスト方言グランプリ2】#98,https://i.ytimg.com/vi/O54r0v9sJig/sddefault.jpg,https://www.youtube.com/watch?v=O54r0v9sJig,2022-02-11
101,【ズボンのボタン引きちぎる】ヤバ言語偉人・三上章の一生【三上章1】#99,https://i.ytimg.com/vi/dqd4NLCQNIQ/sddefault.jpg,https://www.youtube.com/watch?v=dqd4NLCQNIQ,2022-02-15
